ticker,date,open,high,low,close
PEOPLE,2022-05-20,0.0191999,0.019984,0.0170795,0.0180765
PEOPLE,2022-05-21,0.0180783,0.0433436,0.0178785,0.0321581
PEOPLE,2022-05-22,0.0321581,0.0414461,0.0273671,0.0284658
PEOPLE,2022-05-23,0.0284658,0.031968,0.0261686,0.0264682
PEOPLE,2022-05-24,0.0263297,0.0288862,0.0246374,0.0270917
PEOPLE,2022-05-25,0.0271057,0.028411,0.0240775,0.0252597
PEOPLE,2022-05-26,0.0252966,0.025465,0.0204215,0.0224545
PEOPLE,2022-05-27,0.0224593,0.0231428,0.018149,0.0189312
PEOPLE,2022-05-28,0.0189342,0.024982,0.0188854,0.0231669
PEOPLE,2022-05-29,0.0231698,0.0244551,0.0209141,0.021813
PEOPLE,2022-05-30,0.0218411,0.0258391,0.0218411,0.0238959
PEOPLE,2022-05-31,0.0239842,0.0252888,0.0219077,0.0225789
PEOPLE,2022-06-01,0.0225686,0.0244751,0.0191989,0.0197522
PEOPLE,2022-06-02,0.0197422,0.0214906,0.0192427,0.0206014
PEOPLE,2022-06-03,0.0206314,0.0213825,0.0187254,0.0199127
PEOPLE,2022-06-04,0.0199726,0.0204326,0.0190907,0.0201247
PEOPLE,2022-06-05,0.0200849,0.0206618,0.0191445,0.0197414
PEOPLE,2022-06-06,0.0197714,0.0244095,0.0195416,0.0229607
PEOPLE,2022-06-07,0.0229107,0.0248396,0.0203941,0.0243702
PEOPLE,2022-06-08,0.0244604,0.024981,0.0211545,0.0216259
PEOPLE,2022-06-09,0.0216359,0.0222908,0.0204542,0.0208725
PEOPLE,2022-06-10,0.0208623,0.0213525,0.0189128,0.020484
PEOPLE,2022-06-11,0.0204738,0.0206978,0.0170898,0.0180196
PEOPLE,2022-06-12,0.0179995,0.020775,0.0156596,0.0198855
PEOPLE,2022-06-13,0.0199055,0.0210709,0.0162453,0.0179051
PEOPLE,2022-06-14,0.0179053,0.0206731,0.0171832,0.019177
PEOPLE,2022-06-15,0.0191868,0.0267652,0.019127,0.0257813
PEOPLE,2022-06-16,0.0257613,0.026146,0.0213065,0.0217895
PEOPLE,2022-06-17,0.0206812,0.0229179,0.0202918,0.0216839
PEOPLE,2022-06-18,0.0217239,0.0232913,0.0189953,0.0228627
PEOPLE,2022-06-19,0.0228427,0.0263704,0.0224833,0.0246279
PEOPLE,2022-06-20,0.0246479,0.0276867,0.0238637,0.0243332
PEOPLE,2022-06-21,0.0243032,0.0258515,0.023946,0.0240335
PEOPLE,2022-06-22,0.0240335,0.0244855,0.0220457,0.0235464
PEOPLE,2022-06-23,0.0235564,0.0255245,0.0232967,0.0241259
PEOPLE,2022-06-24,0.0240659,0.0294852,0.0238861,0.0283279
PEOPLE,2022-06-25,0.0283079,0.028941,0.0249828,0.0264715
PEOPLE,2022-06-26,0.0264814,0.0272666,0.0244153,0.0251544
PEOPLE,2022-06-27,0.0251644,0.025477,0.023121,0.0249778
PEOPLE,2022-06-28,0.0249972,0.0259251,0.0235208,0.0240404
PEOPLE,2022-06-29,0.0239972,0.0249368,0.0225148,0.0246614
PEOPLE,2022-06-30,0.0246843,0.0253523,0.0216418,0.0224031
PEOPLE,2022-07-01,0.022453,0.0242833,0.0219614,0.0225851
PEOPLE,2022-07-02,0.0226391,0.0230972,0.021667,0.0230943
PEOPLE,2022-07-03,0.0231062,0.0239219,0.0223699,0.0235583
PEOPLE,2022-07-04,0.0236193,0.0245535,0.0228203,0.0242838
PEOPLE,2022-07-05,0.0242848,0.0254954,0.023268,0.0247507
PEOPLE,2022-07-06,0.0247747,0.025461,0.0240905,0.0250314
PEOPLE,2022-07-07,0.0250739,0.0258385,0.0243587,0.0252858
PEOPLE,2022-07-08,0.0253148,0.0258879,0.0236278,0.0240855
PEOPLE,2022-07-09,0.0240366,0.0247461,0.0238137,0.0244873
PEOPLE,2022-07-10,0.0244858,0.0267769,0.0240336,0.0258105
PEOPLE,2022-07-11,0.0258125,0.026629,0.0226856,0.0230313
PEOPLE,2022-07-12,0.0229559,0.0236134,0.0223426,0.0228971
PEOPLE,2022-07-13,0.022897,0.023955,0.022007,0.0232181
PEOPLE,2022-07-14,0.0232171,0.0240781,0.0223661,0.023364
PEOPLE,2022-07-15,0.023397,0.0241645,0.0229339,0.0236179
PEOPLE,2022-07-16,0.0236179,0.0244101,0.0227392,0.0238788
PEOPLE,2022-07-17,0.0238822,0.0247841,0.0228727,0.0232659
PEOPLE,2022-07-18,0.0232737,0.0282353,0.022868,0.0254132
PEOPLE,2022-07-19,0.0254252,0.0270041,0.0245995,0.0263642
PEOPLE,2022-07-20,0.02631,0.0278219,0.0241095,0.0250613
PEOPLE,2022-07-21,0.0250853,0.0253893,0.0235701,0.0253013
PEOPLE,2022-07-22,0.0253013,0.0265845,0.0247437,0.0256516
PEOPLE,2022-07-23,0.0256756,0.0296024,0.0255439,0.0268351
PEOPLE,2022-07-24,0.0268227,0.0279286,0.0264937,0.0269854
PEOPLE,2022-07-25,0.0269824,0.0271664,0.0249457,0.025568
PEOPLE,2022-07-26,0.025562,0.0255633,0.0238434,0.0244707
PEOPLE,2022-07-27,0.0244774,0.0265599,0.024471,0.0265294
PEOPLE,2022-07-28,0.0265514,0.0285541,0.0259959,0.0274345
PEOPLE,2022-07-29,0.0274298,0.0365591,0.0267403,0.0298122
PEOPLE,2022-07-30,0.0298222,0.0359619,0.0296407,0.0345014
PEOPLE,2022-07-31,0.0345104,0.0360204,0.0314285,0.0342479
